# D_1  D_2  D_3  D_4  D_5  Sigma_a_1  Sigma_a_2  Sigma_a_3  Sigma_a_4  Sigma_a_5  q_1  q_2  q_3  q_4  q_5
1.909761e+00 9.794630e-01 6.014275e-01 1.486004e+00 1.554176e+00 5.188772e-01 1.971652e-01 8.985345e-01 6.437744e-01 4.555189e-01 1.659327e+00 1.830561e+00 1.983644e+00 7.399643e-01 1.768300e+00
4.040722e-01 3.886946e-01 5.660069e-01 7.822340e-01 1.684639e+00 2.839525e-01 9.542376e-01 4.720435e-01 2.474039e-01 3.368603e-01 1.081847e-01 1.711631e+00 8.475621e-02 3.958722e-02 3.061847e-01
3.788985e-01 1.170287e+00 1.560339e+00 1.879314e+00 1.603837e+00 8.731357e-02 1.287484e-01 1.205809e-01 4.945514e-01 9.856386e-01 1.504503e+00 1.465735e+00 1.889057e+00 5.174259e-01 1.951324e-01
1.091294e+00 1.929998e+00 1.963213e+00 1.263510e+00 3.831497e-01 7.576805e-01 3.364139e-01 6.170891e-01 6.944422e-01 2.867049e-01 6.339949e-02 2.332162e-02 6.220302e-01 2.137608e-01 1.655390e+00
4.302479e-01 1.572782e+00 4.591097e-01 1.616131e+00 1.427195e+00 3.917506e-01 6.296921e-01 9.665625e-01 3.908090e-01 3.270996e-01 1.502073e-02 2.489114e-01 1.816124e+00 4.866007e-01 8.553849e-02
2.057471e-01 1.632672e+00 8.044886e-01 1.875857e+00 1.591635e+00 2.290676e-01 4.286484e-01 8.959318e-01 9.293072e-01 3.831204e-01 1.937831e+00 1.631284e+00 3.516921e-01 8.843746e-01 1.677593e+00
1.070976e+00 4.243879e-01 1.327410e+00 1.127046e+00 1.854696e+00 5.690541e-01 8.267663e-02 6.786821e-01 7.482423e-01 2.825528e-01 4.829628e-01 3.811757e-01 1.611097e+00 1.340545e+00 1.177908e+00
1.260008e+00 8.988620e-01 9.175756e-01 3.149998e-01 1.434184e+00 2.722552e-01 1.160740e-01 8.780335e-01 5.630681e-01 8.996981e-01 1.487089e-01 8.468490e-01 1.781973e-01 6.325543e-01 1.814026e+00
3.327454e-01 1.582953e+00 1.097949e+00 7.558023e-01 2.487891e-01 2.349629e-01 9.414822e-01 4.448737e-01 4.809032e-01 5.224890e-01 1.527218e+00 1.958297e+00 1.465389e+00 3.025125e-01 1.304031e+00
8.769101e-01 1.296231e+00 2.010689e-01 1.886066e+00 8.552221e-01 2.806257e-01 8.011726e-01 5.771914e-01 3.098103e-01 1.702575e-01 1.153204e+00 1.703684e+00 5.734128e-01 5.797089e-01 1.365206e+00
5.940907e-01 8.401346e-01 1.398683e+00 8.121256e-01 1.218276e+00 8.855624e-01 8.972200e-01 9.625778e-02 7.096670e-01 5.041748e-01 1.678137e+00 8.061444e-01 5.896406e-01 7.541455e-01 2.116210e-01
7.803500e-01 7.875062e-01 1.894063e+00 1.738499e+00 1.712668e+00 1.408736e-01 3.086610e-01 7.101285e-01 5.165696e-01 1.940203e-01 6.635822e-02 3.856034e-01 1.576376e+00 1.849144e+00 9.267671e-01
1.327061e+00 2.799591e-01 1.113874e+00 1.142578e+00 6.730597e-01 2.545053e-01 1.493416e-01 1.164330e-01 4.278611e-01 6.664413e-01 4.637649e-01 1.151481e+00 8.547060e-01 4.243442e-01 1.555860e+00
1.787769e+00 7.187900e-01 7.175645e-01 1.358124e+00 1.037689e+00 3.135779e-01 7.538185e-02 6.815126e-01 9.319365e-01 2.190515e-01 3.411695e-01 1.966572e+00 1.330543e+00 3.887761e-01 1.858881e+00
6.457514e-01 1.475627e+00 4.861714e-01 1.929301e+00 1.063623e+00 2.194498e-01 6.037188e-02 1.223413e-01 3.081169e-01 7.988564e-01 1.696640e+00 1.724860e+00 1.238570e+00 1.487402e+00 9.722585e-01
2.692351e-01 1.849593e+00 2.909318e-01 3.748240e-01 2.556594e-01 2.370261e-01 1.386326e-01 1.599145e-01 4.272973e-01 5.705995e-02 1.570315e+00 3.931996e-01 1.733881e+00 1.358214e-01 5.542581e-02
9.720222e-01 3.186350e-01 1.396110e+00 9.211926e-01 1.314051e+00 4.759881e-01 8.355314e-01 1.535162e-01 8.619955e-01 5.700911e-01 1.694888e+00 1.226496e+00 1.295258e+00 1.436227e+00 7.186645e-01
3.602914e-01 4.395063e-01 1.901113e+00 9.978503e-01 6.776616e-01 1.646904e-01 9.873123e-01 2.054426e-01 1.337525e-01 9.418988e-01 1.049518e+00 1.719266e+00 1.639735e+00 7.319647e-01 7.785227e-01
5.206251e-01 1.829515e+00 2.595044e-01 1.311007e+00 6.540352e-01 6.379154e-01 3.445371e-01 9.512370e-01 4.772392e-01 8.821486e-01 1.016242e+00 8.036469e-01 2.030370e-01 2.328188e-01 1.996746e+00
8.092968e-01 9.360447e-01 1.444834e+00 1.273114e+00 6.319640e-01 8.461782e-01 2.934567e-01 3.925797e-01 7.361925e-01 8.188344e-01 1.339451e+00 1.038411e+00 8.186042e-01 1.854809e+00 2.984510e-01
1.149262e+00 1.167218e+00 5.200940e-01 9.292168e-01 9.043164e-01 7.417055e-01 3.966976e-01 9.022504e-01 8.300919e-01 3.232110e-01 7.180737e-01 7.033223e-01 7.895328e-01 1.960143e+00 1.303222e-01
1.593420e+00 1.410584e+00 6.698932e-01 9.160478e-01 1.734275e+00 9.597458e-01 6.254474e-01 7.214855e-01 9.487668e-01 7.647141e-01 5.830929e-01 1.988180e+00 1.033368e+00 1.209543e+00 9.055113e-01
1.759632e+00 8.113955e-01 7.593422e-01 3.698920e-01 1.153866e+00 5.644721e-02 2.612866e-01 1.874301e-01 7.800337e-01 5.664198e-01 1.174798e+00 1.780435e+00 2.162168e-01 7.168740e-01 1.423003e+00
6.997938e-01 1.324831e+00 1.483708e+00 1.564965e+00 9.770404e-01 3.656882e-01 2.039225e-01 2.768874e-01 2.653340e-01 1.641886e-01 7.066955e-01 4.373333e-01 1.846582e+00 1.517504e+00 3.804492e-01
1.190235e+00 8.549405e-01 1.078557e+00 4.893703e-01 1.748643e+00 3.065117e-01 6.331852e-01 7.579701e-01 5.945215e-02 2.290882e-01 1.667765e+00 5.567851e-01 6.391214e-01 1.163549e+00 1.123032e+00
1.379951e+00 1.320355e+00 4.383917e-01 1.254329e+00 3.064706e-01 9.223098e-01 4.683828e-01 1.565480e-01 2.915525e-01 7.215396e-01 3.599091e-01 8.504113e-01 6.747305e-01 5.302163e-01 1.527426e+00
1.289620e+00 1.935672e+00 1.569438e+00 1.306877e+00 3.988209e-01 2.610658e-01 5.119114e-01 4.847895e-01 7.114662e-01 5.796742e-01 1.332907e+00 6.934533e-01 7.792062e-02 9.213273e-01 1.492327e-01
1.140427e+00 4.994535e-01 7.045304e-01 4.541860e-01 1.198528e+00 8.467728e-02 8.076407e-02 8.198670e-01 5.399510e-01 3.181006e-01 3.812611e-01 7.649388e-01 1.715519e+00 1.443747e+00 1.395034e+00
7.985124e-01 7.375865e-01 1.873619e+00 1.108531e+00 1.545012e+00 6.131804e-01 4.347507e-01 3.633673e-01 5.391108e-01 5.638691e-01 1.803417e+00 4.376889e-02 1.564979e+00 1.351094e+00 8.904752e-01
2.421463e-01 1.948099e+00 6.102126e-01 4.420753e-01 9.433125e-01 4.566959e-01 8.892101e-01 2.484586e-01 4.077093e-01 5.095163e-01 3.947021e-01 1.432572e-01 1.691559e+00 5.043246e-02 1.425995e+00
6.727629e-01 1.877069e+00 7.343151e-01 1.135045e+00 8.000918e-01 9.791177e-01 1.125749e-01 4.506031e-01 9.640281e-01 8.938876e-01 5.376115e-01 1.091464e-01 1.023408e+00 1.608665e-01 7.514394e-01
1.494380e+00 9.255553e-01 4.414647e-01 1.584997e+00 1.103076e+00 3.350804e-01 4.675425e-01 9.188249e-01 8.588086e-01 2.176604e-01 8.681277e-01 1.395611e+00 1.227306e+00 1.705070e+00 1.889979e+00
1.617709e+00 8.647193e-01 1.926729e+00 9.258768e-01 1.213580e+00 7.628054e-01 8.243642e-01 7.427033e-01 7.201550e-02 7.467089e-01 1.511509e+00 6.271567e-01 1.909049e+00 1.459463e+00 1.195131e+00
1.113808e+00 1.723209e+00 1.665980e+00 7.257100e-01 5.952921e-01 1.880518e-01 6.419641e-01 8.585544e-01 5.269000e-01 2.075225e-01 1.567085e+00 4.753912e-01 1.975038e+00 1.417721e+00 1.038657e+00
1.586360e+00 1.269536e+00 1.550811e+00 1.948210e+00 8.457835e-01 7.541965e-01 5.295309e-01 9.775396e-01 7.624381e-01 1.177606e-01 1.968653e+00 1.426033e+00 1.648613e+00 1.148508e+00 1.625620e+00
1.267723e+00 5.462339e-01 1.599668e+00 5.877844e-01 1.975912e+00 1.563246e-01 7.571859e-01 8.703214e-01 2.788597e-01 3.905791e-01 1.388716e+00 1.351187e+00 1.059721e+00 1.190248e+00 1.216016e+00
2.385936e-01 7.635505e-01 5.034383e-01 1.555637e+00 1.277548e+00 9.917329e-01 5.636684e-01 2.912458e-01 8.071102e-01 9.720414e-02 1.497806e+00 7.251689e-01 4.077748e-01 1.413975e+00 6.955766e-01
3.116245e-01 7.328145e-01 1.129002e+00 2.293821e-01 5.861368e-01 9.326836e-01 7.287267e-01 3.255052e-01 1.364017e-01 1.600573e-01 8.075144e-01 9.064803e-01 1.427556e+00 3.172229e-01 1.636930e+00
8.312024e-01 5.387382e-01 6.735648e-01 1.187667e+00 7.075615e-01 8.690988e-01 3.799427e-01 7.874571e-01 1.967762e-01 3.875397e-01 8.483649e-01 5.100696e-01 1.291565e+00 1.476106e+00 3.315681e-01
1.254274e+00 1.860737e+00 7.526451e-01 1.860441e+00 5.321191e-01 4.603545e-01 4.180616e-01 8.456816e-01 3.378471e-01 6.905005e-01 5.281738e-01 5.263670e-01 1.277131e+00 1.263970e+00 1.255565e+00
1.414210e+00 6.212994e-01 1.914991e+00 1.048788e+00 8.676432e-01 2.402369e-01 1.378292e-01 8.411355e-01 8.449686e-01 3.819434e-01 1.237159e+00 4.186437e-01 2.617721e-01 3.715432e-01 1.349137e+00
9.953568e-01 3.288283e-01 1.120239e+00 1.192797e+00 1.772110e+00 9.145638e-01 5.856539e-01 8.832601e-01 1.923093e-01 5.557223e-01 4.851212e-01 2.346444e-01 1.096868e+00 9.401645e-01 1.879370e+00
8.890707e-01 1.230497e+00 3.283781e-01 1.770736e+00 1.488092e+00 9.974584e-01 5.181353e-01 4.054410e-01 2.574056e-01 9.510241e-01 1.576512e+00 1.994634e+00 2.229407e-01 1.265707e+00 1.192028e+00
8.831286e-01 1.305205e+00 1.887542e+00 1.842804e+00 1.689048e+00 4.709943e-01 9.371152e-01 8.745576e-01 3.778384e-01 4.619438e-01 1.059027e+00 1.027687e+00 7.128568e-01 1.457688e-01 5.073883e-02
6.357406e-01 3.142825e-01 7.931491e-01 3.273598e-01 6.100287e-01 7.051752e-01 8.032592e-01 1.372746e-01 7.053572e-01 3.224894e-01 1.673595e+00 1.604241e+00 6.068339e-01 8.166945e-01 4.451925e-01
1.370800e+00 1.216555e+00 7.281118e-01 1.291015e+00 1.650599e+00 8.199144e-01 8.564104e-01 5.712550e-01 2.817089e-01 6.566519e-01 1.181301e+00 1.742248e+00 6.675664e-01 6.363626e-01 4.959566e-01
2.478213e-01 1.136069e+00 6.655612e-01 7.666814e-01 3.936534e-01 3.560884e-01 5.014328e-01 7.509453e-01 3.308209e-01 6.176187e-01 9.360808e-01 1.322791e+00 1.769191e+00 2.152275e-01 1.468676e+00
1.807385e+00 5.928622e-01 1.595724e+00 1.374734e+00 1.926451e+00 8.347958e-01 7.617965e-01 8.620830e-01 6.177243e-01 5.760122e-01 2.347057e-01 5.697005e-01 1.261823e+00 1.405636e+00 8.595602e-01
1.285596e+00 1.022384e+00 1.182796e+00 3.472544e-01 2.808187e-01 7.720687e-01 6.011464e-01 7.876791e-02 8.796935e-01 7.771642e-01 2.582732e-01 1.796001e+00 1.454416e+00 9.048926e-01 1.371964e+00
1.448723e+00 1.046727e+00 8.770364e-01 7.202961e-01 5.444108e-01 4.347240e-01 7.536648e-01 9.121719e-01 7.187242e-01 7.810009e-01 1.296308e+00 1.270583e+00 9.552616e-01 1.634881e+00 1.027930e+00
9.538500e-01 9.576256e-01 1.017210e+00 8.085986e-01 3.621569e-01 7.651526e-01 9.450360e-01 1.384844e-01 4.217236e-01 7.888809e-01 1.685015e+00 1.497476e+00 1.607566e+00 4.345632e-01 2.685478e-01
7.871557e-01 2.443208e-01 1.320660e+00 2.626280e-01 1.178087e+00 9.858061e-01 7.294986e-01 3.138313e-01 8.637346e-02 6.802019e-01 1.951767e+00 1.369141e+00 1.642485e+00 4.392670e-02 1.687435e+00
2.294351e-01 7.730510e-01 1.718423e+00 1.403214e+00 1.584478e+00 7.596520e-01 2.309915e-01 5.511647e-01 7.734610e-01 6.869041e-01 1.168053e+00 7.973481e-01 3.664801e-01 1.460869e+00 1.483304e+00
1.739959e+00 8.310933e-01 1.066201e+00 6.357625e-01 9.612266e-01 2.455245e-01 4.546191e-01 5.392645e-02 8.033290e-02 5.957175e-01 1.289378e+00 1.620340e+00 1.283320e+00 1.028461e+00 3.223486e-01
6.085036e-01 1.995008e+00 2.222864e-01 4.037313e-01 5.713387e-01 8.718253e-01 4.189477e-01 7.794384e-01 2.765859e-01 7.193467e-01 1.191709e+00 4.208539e-01 1.196452e+00 3.914799e-01 1.898119e+00
8.717503e-01 5.468484e-01 3.466807e-01 1.804550e+00 6.650195e-01 7.140383e-02 3.511809e-01 4.669642e-01 4.910977e-01 9.210508e-01 1.463017e+00 1.025716e-01 1.307107e+00 4.005336e-01 1.075594e+00
8.881071e-01 8.968551e-01 1.683586e+00 1.629999e+00 1.307202e+00 4.262168e-01 3.541850e-01 5.042012e-01 7.694804e-01 1.388938e-01 8.454798e-02 9.908534e-01 1.009791e+00 1.360296e+00 4.238960e-01
7.423182e-01 1.897919e+00 2.514808e-01 9.553863e-01 1.288025e+00 9.062527e-02 7.712947e-02 7.124840e-01 1.832342e-01 8.237017e-01 4.245264e-01 6.022104e-02 1.222802e+00 5.210078e-01 6.275724e-02
5.748666e-01 1.762435e+00 4.947220e-01 1.344610e+00 1.933805e+00 3.097114e-01 8.166776e-01 2.642627e-01 3.188757e-01 2.611469e-01 1.354264e+00 1.801854e+00 8.558890e-01 1.598546e+00 8.610151e-01
1.402285e+00 1.691695e+00 1.455421e+00 9.119506e-01 1.186316e+00 6.881304e-01 9.567480e-01 6.069866e-01 9.017628e-01 8.877222e-02 1.543216e+00 1.101019e+00 2.175476e-02 1.920682e+00 5.471828e-01
1.345183e+00 1.772675e+00 4.628679e-01 6.034447e-01 1.350458e+00 5.462586e-01 1.352964e-01 7.856206e-01 3.224731e-01 2.906893e-01 6.180127e-01 1.494889e+00 1.370466e+00 1.908730e+00 1.298886e+00
3.006933e-01 1.531841e+00 1.887472e+00 2.253817e-01 1.916480e+00 6.515720e-01 2.709372e-01 9.722389e-01 9.997072e-01 6.267665e-01 4.857899e-02 4.870519e-01 1.442992e+00 1.254864e+00 6.622535e-01
7.203039e-01 6.128863e-01 1.507743e+00 2.092120e-01 1.992460e+00 9.467419e-01 2.281065e-01 2.681004e-01 6.207522e-01 7.502750e-01 3.870474e-01 7.720243e-01 1.185285e+00 1.222439e+00 1.623158e+00
5.712431e-01 2.560706e-01 1.009624e+00 6.887083e-01 2.004627e-01 9.137972e-01 8.679594e-01 5.803707e-01 2.680738e-01 8.915405e-01 1.133749e+00 7.364036e-01 1.748516e+00 1.582123e-01 1.830583e+00
1.635666e+00 3.375175e-01 1.912596e+00 6.272404e-01 1.540945e+00 3.416365e-01 3.442741e-01 5.804617e-02 9.033401e-02 4.005604e-01 1.035119e+00 1.540458e+00 1.838894e+00 1.954354e+00 1.306599e+00
1.198249e+00 5.299327e-01 1.814698e+00 1.659109e+00 7.111702e-01 7.114224e-01 3.848505e-01 5.378972e-01 1.002094e-01 9.563299e-01 9.546673e-01 3.487457e-01 1.171215e+00 2.063207e-01 1.757407e+00
