# x=3.3250  x=3.3750  x=3.4250  x=3.4750  x=3.5250  x=3.5750  x=3.6250  x=3.6750  x=3.7250  x=3.7750  x=3.8250  x=3.8750  x=3.9250  x=3.9750  x=4.0250  x=4.0750  x=4.1250  x=4.1750  x=4.2250  x=4.2750  x=4.3250  x=4.3750  x=4.4250  x=4.4750  x=4.5250  x=4.5750  x=4.6250  x=4.6750  x=4.7250  x=4.7750  x=4.8250  x=4.8750  x=4.9250  x=4.9750  x=5.0250  x=5.0750  x=5.1250  x=5.1750  x=5.2250  x=5.2750  x=5.3250  x=5.3750  x=5.4250  x=5.4750  x=5.5250  x=5.5750  x=5.6250  x=5.6750  x=5.7250  x=5.7750  x=5.8250  x=5.8750  x=5.9250  x=5.9750  x=6.0250  x=6.0750  x=6.1250  x=6.1750  x=6.2250  x=6.2750  x=6.3250  x=6.3750  x=6.4250  x=6.4750  x=6.5250  x=6.5750  x=6.6250  x=6.6750
4.027504e+00 4.055712e+00 4.076814e+00 4.096550e+00 4.114921e+00 4.131930e+00 4.147578e+00 4.161867e+00 4.174799e+00 4.186375e+00 4.196596e+00 4.205464e+00 4.212980e+00 4.219144e+00 4.223957e+00 4.227419e+00 4.229531e+00 4.230294e+00 4.229706e+00 4.227769e+00 4.224482e+00 4.219844e+00 4.213856e+00 4.206516e+00 4.197823e+00 4.187777e+00 4.176377e+00 4.163621e+00 4.149508e+00 4.134037e+00 4.117204e+00 4.099010e+00 4.079452e+00 4.058527e+00 4.036233e+00 4.012569e+00 3.987530e+00 3.961116e+00 3.933321e+00 3.904145e+00 3.873582e+00 3.841631e+00 3.808287e+00 3.773547e+00 3.737407e+00 3.699863e+00 3.660911e+00 3.620546e+00 3.578765e+00 3.535562e+00 3.490933e+00 3.444872e+00 3.397376e+00 3.348438e+00 3.298054e+00 3.246217e+00 3.192922e+00 3.138163e+00 3.081934e+00 3.024229e+00 2.965041e+00 2.904365e+00 2.842193e+00 2.778518e+00 2.713334e+00 2.646633e+00 2.578408e+00 2.504461e+00
1.884124e+00 1.895851e+00 1.906624e+00 1.916872e+00 1.926605e+00 1.935831e+00 1.944560e+00 1.952798e+00 1.960554e+00 1.967835e+00 1.974647e+00 1.980998e+00 1.986891e+00 1.992334e+00 1.997332e+00 2.001887e+00 2.006006e+00 2.009692e+00 2.012947e+00 2.015776e+00 2.018181e+00 2.020163e+00 2.021725e+00 2.022869e+00 2.023595e+00 2.023903e+00 2.023795e+00 2.023270e+00 2.022328e+00 2.020967e+00 2.019187e+00 2.016986e+00 2.014362e+00 2.011312e+00 2.007834e+00 2.003924e+00 1.999579e+00 1.994795e+00 1.989567e+00 1.983890e+00 1.977761e+00 1.971171e+00 1.964117e+00 1.956590e+00 1.948585e+00 1.940093e+00 1.931108e+00 1.921620e+00 1.911621e+00 1.901101e+00 1.890052e+00 1.878462e+00 1.866322e+00 1.853619e+00 1.840343e+00 1.826481e+00 1.812020e+00 1.796947e+00 1.781247e+00 1.764908e+00 1.747912e+00 1.730246e+00 1.711892e+00 1.692833e+00 1.673053e+00 1.652532e+00 1.631252e+00 1.602351e+00
2.587366e+00 2.475404e+00 2.367239e+00 2.264930e+00 2.168171e+00 2.076675e+00 1.990168e+00 1.908394e+00 1.831108e+00 1.758080e+00 1.689093e+00 1.623941e+00 1.562431e+00 1.504378e+00 1.449610e+00 1.397964e+00 1.349286e+00 1.303431e+00 1.260262e+00 1.219650e+00 1.181476e+00 1.145624e+00 1.111988e+00 1.080469e+00 1.050972e+00 1.023408e+00 9.976973e-01 9.737617e-01 9.515303e-01 9.309369e-01 9.119201e-01 8.944233e-01 8.783943e-01 8.637855e-01 8.505531e-01 8.386580e-01 8.280646e-01 8.187413e-01 8.106604e-01 8.037979e-01 7.981332e-01 7.936495e-01 7.903334e-01 7.881751e-01 7.871681e-01 7.873095e-01 7.885996e-01 7.910423e-01 7.946449e-01 7.994181e-01 8.053761e-01 8.125367e-01 8.209212e-01 8.305545e-01 8.414655e-01 8.536865e-01 8.672540e-01 8.822084e-01 8.985943e-01 9.164605e-01 9.358601e-01 9.568511e-01 9.794958e-01 1.003862e+00 1.030022e+00 1.058054e+00 1.088041e+00 1.116392e+00
1.317835e+00 1.328326e+00 1.331529e+00 1.334593e+00 1.337519e+00 1.340310e+00 1.342967e+00 1.345492e+00 1.347887e+00 1.350154e+00 1.352294e+00 1.354308e+00 1.356198e+00 1.357965e+00 1.359610e+00 1.361135e+00 1.362540e+00 1.363827e+00 1.364996e+00 1.366048e+00 1.366984e+00 1.367804e+00 1.368509e+00 1.369099e+00 1.369576e+00 1.369938e+00 1.370187e+00 1.370322e+00 1.370344e+00 1.370253e+00 1.370048e+00 1.369730e+00 1.369297e+00 1.368751e+00 1.368091e+00 1.367315e+00 1.366424e+00 1.365417e+00 1.364294e+00 1.363053e+00 1.361694e+00 1.360215e+00 1.358617e+00 1.356897e+00 1.355055e+00 1.353089e+00 1.350998e+00 1.348781e+00 1.346435e+00 1.343961e+00 1.341355e+00 1.338616e+00 1.335743e+00 1.332732e+00 1.329583e+00 1.326294e+00 1.322861e+00 1.319283e+00 1.315557e+00 1.311680e+00 1.307651e+00 1.303466e+00 1.299123e+00 1.294618e+00 1.289949e+00 1.285113e+00 1.280105e+00 1.273289e+00
1.292167e+00 1.330592e+00 1.367172e+00 1.402032e+00 1.435232e+00 1.466834e+00 1.496894e+00 1.525466e+00 1.552602e+00 1.578352e+00 1.602761e+00 1.625873e+00 1.647731e+00 1.668373e+00 1.687837e+00 1.706159e+00 1.723370e+00 1.739503e+00 1.754586e+00 1.768647e+00 1.781710e+00 1.793800e+00 1.804939e+00 1.815145e+00 1.824439e+00 1.832836e+00 1.840352e+00 1.847000e+00 1.852793e+00 1.857740e+00 1.861851e+00 1.865133e+00 1.867593e+00 1.869233e+00 1.870059e+00 1.870070e+00 1.869267e+00 1.867648e+00 1.865211e+00 1.861952e+00 1.857863e+00 1.852939e+00 1.847170e+00 1.840545e+00 1.833053e+00 1.824680e+00 1.815411e+00 1.805229e+00 1.794117e+00 1.782053e+00 1.769016e+00 1.754983e+00 1.739928e+00 1.723825e+00 1.706643e+00 1.688352e+00 1.668920e+00 1.648310e+00 1.626486e+00 1.603408e+00 1.579035e+00 1.553323e+00 1.526225e+00 1.497693e+00 1.467674e+00 1.436115e+00 1.402959e+00 1.347607e+00
1.651308e+00 1.646202e+00 1.641930e+00 1.637821e+00 1.633868e+00 1.630063e+00 1.626399e+00 1.622869e+00 1.619468e+00 1.616189e+00 1.613025e+00 1.609972e+00 1.607023e+00 1.604174e+00 1.601419e+00 1.598752e+00 1.596171e+00 1.593668e+00 1.591241e+00 1.588884e+00 1.586593e+00 1.584364e+00 1.582194e+00 1.580077e+00 1.578011e+00 1.575991e+00 1.574014e+00 1.572077e+00 1.570174e+00 1.568304e+00 1.566463e+00 1.564648e+00 1.562854e+00 1.561079e+00 1.559320e+00 1.557574e+00 1.555836e+00 1.554105e+00 1.552377e+00 1.550648e+00 1.548916e+00 1.547178e+00 1.545430e+00 1.543669e+00 1.541892e+00 1.540096e+00 1.538278e+00 1.536433e+00 1.534559e+00 1.532653e+00 1.530710e+00 1.528728e+00 1.526703e+00 1.524630e+00 1.522507e+00 1.520330e+00 1.518094e+00 1.515795e+00 1.513429e+00 1.510993e+00 1.508481e+00 1.505888e+00 1.503211e+00 1.500445e+00 1.497583e+00 1.494622e+00 1.491555e+00 1.488979e+00
1.196809e+00 1.199346e+00 1.200975e+00 1.202943e+00 1.205252e+00 1.207905e+00 1.210905e+00 1.214256e+00 1.217960e+00 1.222024e+00 1.226451e+00 1.231247e+00 1.236418e+00 1.241969e+00 1.247907e+00 1.254240e+00 1.260974e+00 1.268118e+00 1.275680e+00 1.283669e+00 1.292095e+00 1.300967e+00 1.310296e+00 1.320093e+00 1.330370e+00 1.341138e+00 1.352411e+00 1.364201e+00 1.376523e+00 1.389392e+00 1.402822e+00 1.416830e+00 1.431431e+00 1.446644e+00 1.462485e+00 1.478975e+00 1.496132e+00 1.513977e+00 1.532531e+00 1.551815e+00 1.571853e+00 1.592669e+00 1.614286e+00 1.636731e+00 1.660029e+00 1.684209e+00 1.709299e+00 1.735329e+00 1.762330e+00 1.790333e+00 1.819371e+00 1.849480e+00 1.880694e+00 1.913050e+00 1.946587e+00 1.981345e+00 2.017364e+00 2.054686e+00 2.093357e+00 2.133422e+00 2.174929e+00 2.217925e+00 2.262463e+00 2.308594e+00 2.356374e+00 2.405859e+00 2.457107e+00 2.511132e+00
2.194586e+00 2.232291e+00 2.252083e+00 2.271588e+00 2.290815e+00 2.309771e+00 2.328461e+00 2.346894e+00 2.365076e+00 2.383013e+00 2.400712e+00 2.418180e+00 2.435423e+00 2.452447e+00 2.469258e+00 2.485862e+00 2.502266e+00 2.518476e+00 2.534497e+00 2.550336e+00 2.565997e+00 2.581488e+00 2.596812e+00 2.611977e+00 2.626987e+00 2.641849e+00 2.656566e+00 2.671146e+00 2.685592e+00 2.699911e+00 2.714108e+00 2.728187e+00 2.742155e+00 2.756015e+00 2.769774e+00 2.783435e+00 2.797005e+00 2.810487e+00 2.823888e+00 2.837211e+00 2.850462e+00 2.863646e+00 2.876766e+00 2.889829e+00 2.902839e+00 2.915801e+00 2.928718e+00 2.941597e+00 2.954442e+00 2.967257e+00 2.980047e+00 2.992817e+00 3.005571e+00 3.018314e+00 3.031051e+00 3.043787e+00 3.056525e+00 3.069272e+00 3.082030e+00 3.094805e+00 3.107602e+00 3.120426e+00 3.133280e+00 3.146170e+00 3.159100e+00 3.172075e+00 3.185101e+00 3.238853e+00
5.493579e-01 5.411127e-01 5.279350e-01 5.156194e-01 5.041456e-01 4.934946e-01 4.836487e-01 4.745916e-01 4.663083e-01 4.587851e-01 4.520095e-01 4.459702e-01 4.406573e-01 4.360620e-01 4.321767e-01 4.289948e-01 4.265112e-01 4.247217e-01 4.236233e-01 4.232143e-01 4.234939e-01 4.244627e-01 4.261221e-01 4.284751e-01 4.315254e-01 4.352781e-01 4.397395e-01 4.449169e-01 4.508190e-01 4.574554e-01 4.648373e-01 4.729767e-01 4.818873e-01 4.915838e-01 5.020823e-01 5.134001e-01 5.255560e-01 5.385702e-01 5.524642e-01 5.672610e-01 5.829853e-01 5.996629e-01 6.173217e-01 6.359908e-01 6.557011e-01 6.764854e-01 6.983781e-01 7.214154e-01 7.456356e-01 7.710788e-01 7.977871e-01 8.258049e-01 8.551785e-01 8.859566e-01 9.181902e-01 9.519328e-01 9.872403e-01 1.024171e+00 1.062787e+00 1.103151e+00 1.145330e+00 1.189395e+00 1.235418e+00 1.283476e+00 1.333649e+00 1.386018e+00 1.440672e+00 1.474903e+00
4.078361e+00 3.962616e+00 3.787322e+00 3.627431e+00 3.481588e+00 3.348557e+00 3.227208e+00 3.116514e+00 3.015536e+00 2.923418e+00 2.839378e+00 2.762704e+00 2.692745e+00 2.628910e+00 2.570656e+00 2.517490e+00 2.468961e+00 2.424656e+00 2.384202e+00 2.347254e+00 2.313499e+00 2.282652e+00 2.254450e+00 2.228655e+00 2.205048e+00 2.183428e+00 2.163613e+00 2.145434e+00 2.128737e+00 2.113381e+00 2.099235e+00 2.086179e+00 2.074104e+00 2.062906e+00 2.052490e+00 2.042768e+00 2.033658e+00 2.025083e+00 2.016969e+00 2.009248e+00 2.001855e+00 1.994726e+00 1.987802e+00 1.981023e+00 1.974333e+00 1.967674e+00 1.960990e+00 1.954224e+00 1.947320e+00 1.940218e+00 1.932857e+00 1.925177e+00 1.917112e+00 1.908592e+00 1.899547e+00 1.889899e+00 1.879567e+00 1.868462e+00 1.856491e+00 1.843553e+00 1.829537e+00 1.814325e+00 1.797788e+00 1.779785e+00 1.760164e+00 1.738759e+00 1.715388e+00 1.698959e+00
