# D_1  D_2  D_3  Sigma_a_1  Sigma_a_2  Sigma_a_3  q_1  q_2  q_3
1.192803e+00 1.801798e+00 1.608506e+00 1.501543e-01 7.930177e-02 9.351989e-01 8.432122e-01 1.308272e+00 5.763583e-01
1.212600e+00 1.302451e+00 8.038267e-01 5.048258e-01 4.803620e-01 9.212808e-01 1.000273e+00 1.189336e+00 9.312808e-01
8.152857e-01 7.813374e-01 1.014409e+00 1.553078e-01 9.310509e-01 7.437453e-01 1.964951e+00 3.740002e-01 1.410094e+00
3.422546e-01 1.804706e+00 1.106614e+00 1.047509e-01 4.869444e-01 6.565628e-01 1.093659e-01 7.491061e-01 8.227358e-01
1.097493e+00 1.100728e+00 5.049229e-01 6.871768e-01 7.946005e-01 7.188631e-01 2.796439e-01 1.844375e+00 8.503561e-02
9.494278e-01 1.233531e+00 1.986065e+00 5.583071e-01 8.981541e-01 5.692629e-01 1.187841e+00 1.394371e+00 1.203089e+00
3.061467e-01 8.952969e-01 8.642726e-01 9.863366e-01 4.234433e-01 3.504885e-01 1.146621e+00 3.872420e-01 1.912225e+00
6.945547e-01 1.913354e+00 2.650383e-01 7.412707e-01 2.791042e-01 1.864485e-01 9.135436e-01 8.472277e-01 1.153162e+00
1.779043e+00 3.072419e-01 1.532620e+00 2.431989e-01 2.036703e-01 5.929423e-01 3.474718e-01 1.562883e-03 1.440950e+00
1.069394e+00 2.187215e-01 7.627264e-01 7.794867e-02 7.418006e-01 4.286139e-01 1.590190e+00 1.461810e+00 7.744135e-01
7.401331e-01 1.128857e+00 8.397483e-01 6.410809e-01 9.749499e-01 8.525914e-02 1.600350e+00 8.713317e-01 4.581171e-01
1.812199e+00 1.375896e+00 1.635026e+00 8.528359e-01 6.907989e-01 1.094027e-01 1.713417e+00 1.914299e+00 6.377143e-01
1.917386e+00 9.103589e-01 1.915515e+00 9.555361e-01 6.202043e-01 8.366387e-01 1.664535e+00 1.145189e+00 1.386834e+00
