# x=3.0250  x=3.0750  x=3.1250  x=3.1750  x=3.2250  x=3.2750  x=3.3250  x=3.3750  x=3.4250  x=3.4750  x=3.5250  x=3.5750  x=3.6250  x=3.6750  x=3.7250  x=3.7750  x=3.8250  x=3.8750  x=3.9250  x=3.9750  x=4.0250  x=4.0750  x=4.1250  x=4.1750  x=4.2250  x=4.2750  x=4.3250  x=4.3750  x=4.4250  x=4.4750  x=4.5250  x=4.5750  x=4.6250  x=4.6750  x=4.7250  x=4.7750  x=4.8250  x=4.8750  x=4.9250  x=4.9750  x=5.0250  x=5.0750  x=5.1250  x=5.1750  x=5.2250  x=5.2750  x=5.3250  x=5.3750  x=5.4250  x=5.4750  x=5.5250  x=5.5750  x=5.6250  x=5.6750  x=5.7250  x=5.7750  x=5.8250  x=5.8750  x=5.9250  x=5.9750  x=6.0250  x=6.0750  x=6.1250  x=6.1750  x=6.2250  x=6.2750  x=6.3250  x=6.3750  x=6.4250  x=6.4750  x=6.5250  x=6.5750  x=6.6250  x=6.6750  x=6.7250  x=6.7750  x=6.8250  x=6.8750  x=6.9250  x=6.9750
2.425576e+00 2.458534e+00 2.492065e+00 2.526211e+00 2.561015e+00 2.596520e+00 2.632771e+00 2.661386e+00 2.680556e+00 2.698708e+00 2.715847e+00 2.731973e+00 2.747089e+00 2.761198e+00 2.774300e+00 2.786398e+00 2.797493e+00 2.807586e+00 2.816680e+00 2.824774e+00 2.831870e+00 2.837970e+00 2.843073e+00 2.847180e+00 2.850293e+00 2.852411e+00 2.853534e+00 2.853663e+00 2.852798e+00 2.850939e+00 2.848085e+00 2.844236e+00 2.839392e+00 2.833551e+00 2.826714e+00 2.818879e+00 2.810046e+00 2.800212e+00 2.789377e+00 2.777540e+00 2.764699e+00 2.750852e+00 2.735998e+00 2.720134e+00 2.703259e+00 2.685370e+00 2.666466e+00 2.646542e+00 2.625598e+00 2.603631e+00 2.580636e+00 2.556613e+00 2.531557e+00 2.505464e+00 2.478333e+00 2.450159e+00 2.420939e+00 2.390669e+00 2.359345e+00 2.326963e+00 2.293518e+00 2.259007e+00 2.223425e+00 2.186768e+00 2.149030e+00 2.110207e+00 2.070294e+00 2.029286e+00 1.987177e+00 1.943962e+00 1.899635e+00 1.854191e+00 1.807624e+00 1.757632e+00 1.707530e+00 1.659508e+00 1.613465e+00 1.569305e+00 1.526935e+00 1.486267e+00
1.482026e+00 1.480057e+00 1.477438e+00 1.474165e+00 1.470235e+00 1.465643e+00 1.460383e+00 1.455324e+00 1.451192e+00 1.447105e+00 1.443058e+00 1.439047e+00 1.435066e+00 1.431110e+00 1.427175e+00 1.423256e+00 1.419347e+00 1.415444e+00 1.411541e+00 1.407635e+00 1.403720e+00 1.399792e+00 1.395845e+00 1.391874e+00 1.387875e+00 1.383843e+00 1.379772e+00 1.375658e+00 1.371495e+00 1.367278e+00 1.363002e+00 1.358662e+00 1.354252e+00 1.349767e+00 1.345201e+00 1.340548e+00 1.335803e+00 1.330960e+00 1.326012e+00 1.320954e+00 1.315779e+00 1.310481e+00 1.305053e+00 1.299489e+00 1.293781e+00 1.287923e+00 1.281906e+00 1.275725e+00 1.269370e+00 1.262834e+00 1.256109e+00 1.249186e+00 1.242057e+00 1.234714e+00 1.227146e+00 1.219344e+00 1.211299e+00 1.203001e+00 1.194439e+00 1.185603e+00 1.176481e+00 1.167063e+00 1.157336e+00 1.147288e+00 1.136908e+00 1.126182e+00 1.115096e+00 1.103637e+00 1.091790e+00 1.079541e+00 1.066875e+00 1.053776e+00 1.040227e+00 1.023309e+00 1.004515e+00 9.866835e-01 9.697526e-01 9.536643e-01 9.383633e-01 9.237970e-01
1.170287e+00 1.156778e+00 1.142214e+00 1.126579e+00 1.109852e+00 1.092012e+00 1.073037e+00 1.052744e+00 1.033482e+00 1.015341e+00 9.982563e-01 9.821682e-01 9.670195e-01 9.527564e-01 9.393284e-01 9.266881e-01 9.147906e-01 9.035938e-01 8.930580e-01 8.831459e-01 8.738224e-01 8.650545e-01 8.568111e-01 8.490630e-01 8.417828e-01 8.349447e-01 8.285245e-01 8.224994e-01 8.168481e-01 8.115505e-01 8.065880e-01 8.019429e-01 7.975988e-01 7.935403e-01 7.897529e-01 7.862234e-01 7.829392e-01 7.798887e-01 7.770610e-01 7.744462e-01 7.720350e-01 7.698188e-01 7.677898e-01 7.659408e-01 7.642653e-01 7.627573e-01 7.614114e-01 7.602230e-01 7.591879e-01 7.583022e-01 7.575630e-01 7.569675e-01 7.565137e-01 7.562000e-01 7.560252e-01 7.559888e-01 7.560906e-01 7.563310e-01 7.567108e-01 7.572313e-01 7.578945e-01 7.587026e-01 7.596586e-01 7.607657e-01 7.620280e-01 7.634499e-01 7.650364e-01 7.667932e-01 7.687265e-01 7.708431e-01 7.731505e-01 7.756569e-01 7.783712e-01 7.810614e-01 7.832260e-01 7.851118e-01 7.867230e-01 7.880636e-01 7.891366e-01 7.899447e-01
1.472737e+00 1.470424e+00 1.467448e+00 1.463807e+00 1.459496e+00 1.454509e+00 1.448840e+00 1.443931e+00 1.440519e+00 1.437151e+00 1.433824e+00 1.430535e+00 1.427281e+00 1.424059e+00 1.420865e+00 1.417697e+00 1.414550e+00 1.411423e+00 1.408312e+00 1.405215e+00 1.402127e+00 1.399046e+00 1.395970e+00 1.392894e+00 1.389817e+00 1.386735e+00 1.383645e+00 1.380543e+00 1.377428e+00 1.374296e+00 1.371144e+00 1.367969e+00 1.364767e+00 1.361536e+00 1.358273e+00 1.354974e+00 1.351636e+00 1.348255e+00 1.344830e+00 1.341355e+00 1.337828e+00 1.334246e+00 1.330605e+00 1.326900e+00 1.323130e+00 1.319289e+00 1.315375e+00 1.311383e+00 1.307310e+00 1.303152e+00 1.298904e+00 1.294562e+00 1.290122e+00 1.285581e+00 1.280932e+00 1.276173e+00 1.271298e+00 1.266302e+00 1.261181e+00 1.255929e+00 1.250542e+00 1.245014e+00 1.239340e+00 1.233514e+00 1.227531e+00 1.221384e+00 1.215069e+00 1.208578e+00 1.201905e+00 1.195044e+00 1.187988e+00 1.180730e+00 1.173263e+00 1.163800e+00 1.152828e+00 1.142104e+00 1.131608e+00 1.121319e+00 1.111219e+00 1.101286e+00
1.226186e+00 1.214746e+00 1.202325e+00 1.188906e+00 1.174474e+00 1.159009e+00 1.142494e+00 1.126668e+00 1.113278e+00 1.100530e+00 1.088393e+00 1.076838e+00 1.065838e+00 1.055368e+00 1.045401e+00 1.035915e+00 1.026887e+00 1.018296e+00 1.010120e+00 1.002342e+00 9.949417e-01 9.879024e-01 9.812072e-01 9.748403e-01 9.687865e-01 9.630314e-01 9.575615e-01 9.523638e-01 9.474258e-01 9.427360e-01 9.382832e-01 9.340568e-01 9.300468e-01 9.262437e-01 9.226384e-01 9.192225e-01 9.159878e-01 9.129267e-01 9.100318e-01 9.072964e-01 9.047139e-01 9.022781e-01 8.999835e-01 8.978244e-01 8.957958e-01 8.938928e-01 8.921110e-01 8.904460e-01 8.888941e-01 8.874514e-01 8.861146e-01 8.848805e-01 8.837462e-01 8.827089e-01 8.817662e-01 8.809160e-01 8.801560e-01 8.794847e-01 8.789003e-01 8.784015e-01 8.779871e-01 8.776561e-01 8.774077e-01 8.772414e-01 8.771567e-01 8.771535e-01 8.772317e-01 8.773915e-01 8.776333e-01 8.779577e-01 8.783655e-01 8.788575e-01 8.794351e-01 8.803182e-01 8.812301e-01 8.819555e-01 8.824968e-01 8.828559e-01 8.830342e-01 8.830323e-01
1.162554e+00 1.148758e+00 1.133899e+00 1.117957e+00 1.100912e+00 1.082744e+00 1.063429e+00 1.045661e+00 1.031358e+00 1.017764e+00 1.004848e+00 9.925759e-01 9.809185e-01 9.698467e-01 9.593333e-01 9.493522e-01 9.398788e-01 9.308897e-01 9.223627e-01 9.142768e-01 9.066120e-01 8.993494e-01 8.924710e-01 8.859598e-01 8.797999e-01 8.739758e-01 8.684734e-01 8.632790e-01 8.583797e-01 8.537635e-01 8.494190e-01 8.453355e-01 8.415028e-01 8.379114e-01 8.345527e-01 8.314181e-01 8.285001e-01 8.257913e-01 8.232851e-01 8.209754e-01 8.188564e-01 8.169228e-01 8.151699e-01 8.135935e-01 8.121895e-01 8.109545e-01 8.098854e-01 8.089798e-01 8.082351e-01 8.076498e-01 8.072222e-01 8.069514e-01 8.068367e-01 8.068778e-01 8.070747e-01 8.074281e-01 8.079387e-01 8.086079e-01 8.094372e-01 8.104287e-01 8.115849e-01 8.129086e-01 8.144031e-01 8.160720e-01 8.179196e-01 8.199504e-01 8.221693e-01 8.245819e-01 8.271941e-01 8.300123e-01 8.330436e-01 8.362954e-01 8.397758e-01 8.429070e-01 8.450877e-01 8.469063e-01 8.483647e-01 8.494646e-01 8.502071e-01 8.505929e-01
1.607291e+00 1.609959e+00 1.612139e+00 1.613834e+00 1.615046e+00 1.615777e+00 1.616028e+00 1.615808e+00 1.615600e+00 1.615395e+00 1.615195e+00 1.614997e+00 1.614803e+00 1.614611e+00 1.614422e+00 1.614235e+00 1.614050e+00 1.613866e+00 1.613684e+00 1.613502e+00 1.613322e+00 1.613142e+00 1.612963e+00 1.612783e+00 1.612604e+00 1.612424e+00 1.612243e+00 1.612061e+00 1.611878e+00 1.611694e+00 1.611507e+00 1.611319e+00 1.611128e+00 1.610935e+00 1.610739e+00 1.610540e+00 1.610337e+00 1.610131e+00 1.609921e+00 1.609706e+00 1.609487e+00 1.609263e+00 1.609033e+00 1.608798e+00 1.608557e+00 1.608310e+00 1.608056e+00 1.607795e+00 1.607527e+00 1.607251e+00 1.606967e+00 1.606674e+00 1.606373e+00 1.606062e+00 1.605741e+00 1.605410e+00 1.605068e+00 1.604714e+00 1.604349e+00 1.603972e+00 1.603582e+00 1.603178e+00 1.602760e+00 1.602328e+00 1.601881e+00 1.601417e+00 1.600938e+00 1.600441e+00 1.599926e+00 1.599392e+00 1.598839e+00 1.598266e+00 1.597671e+00 1.597048e+00 1.595971e+00 1.594448e+00 1.592476e+00 1.590053e+00 1.587177e+00 1.583843e+00
2.021849e+00 2.039863e+00 2.057926e+00 2.076061e+00 2.094292e+00 2.112640e+00 2.131129e+00 2.145294e+00 2.154785e+00 2.164096e+00 2.173232e+00 2.182198e+00 2.190997e+00 2.199636e+00 2.208118e+00 2.216447e+00 2.224629e+00 2.232667e+00 2.240565e+00 2.248328e+00 2.255959e+00 2.263463e+00 2.270843e+00 2.278104e+00 2.285248e+00 2.292280e+00 2.299204e+00 2.306022e+00 2.312738e+00 2.319357e+00 2.325881e+00 2.332314e+00 2.338658e+00 2.344919e+00 2.351097e+00 2.357198e+00 2.363223e+00 2.369177e+00 2.375062e+00 2.380880e+00 2.386637e+00 2.392333e+00 2.397973e+00 2.403558e+00 2.409093e+00 2.414580e+00 2.420021e+00 2.425420e+00 2.430779e+00 2.436101e+00 2.441389e+00 2.446645e+00 2.451873e+00 2.457075e+00 2.462254e+00 2.467412e+00 2.472553e+00 2.477678e+00 2.482790e+00 2.487892e+00 2.492988e+00 2.498078e+00 2.503167e+00 2.508256e+00 2.513348e+00 2.518446e+00 2.523553e+00 2.528671e+00 2.533803e+00 2.538951e+00 2.544119e+00 2.549308e+00 2.554522e+00 2.566258e+00 2.582969e+00 2.598177e+00 2.611901e+00 2.624158e+00 2.634960e+00 2.644321e+00
2.046717e+00 2.065651e+00 2.084667e+00 2.103788e+00 2.123040e+00 2.142445e+00 2.162028e+00 2.188707e+00 2.220678e+00 2.251088e+00 2.279972e+00 2.307368e+00 2.333306e+00 2.357819e+00 2.380935e+00 2.402684e+00 2.423091e+00 2.442181e+00 2.459977e+00 2.476500e+00 2.491771e+00 2.505807e+00 2.518626e+00 2.530243e+00 2.540673e+00 2.549927e+00 2.558017e+00 2.564953e+00 2.570743e+00 2.575394e+00 2.578912e+00 2.581300e+00 2.582563e+00 2.582701e+00 2.581714e+00 2.579602e+00 2.576361e+00 2.571988e+00 2.566478e+00 2.559824e+00 2.552018e+00 2.543050e+00 2.532910e+00 2.521585e+00 2.509063e+00 2.495326e+00 2.480360e+00 2.464146e+00 2.446664e+00 2.427893e+00 2.407812e+00 2.386394e+00 2.363615e+00 2.339447e+00 2.313862e+00 2.286827e+00 2.258310e+00 2.228278e+00 2.196693e+00 2.163518e+00 2.128712e+00 2.092234e+00 2.054040e+00 2.014083e+00 1.972315e+00 1.928685e+00 1.883142e+00 1.835630e+00 1.786092e+00 1.734468e+00 1.680696e+00 1.624710e+00 1.566444e+00 1.525044e+00 1.503388e+00 1.482232e+00 1.461544e+00 1.441298e+00 1.421466e+00 1.402020e+00
1.323455e+00 1.315615e+00 1.306921e+00 1.297359e+00 1.286920e+00 1.275589e+00 1.263353e+00 1.244015e+00 1.220319e+00 1.198318e+00 1.177894e+00 1.158937e+00 1.141346e+00 1.125026e+00 1.109890e+00 1.095857e+00 1.082852e+00 1.070804e+00 1.059650e+00 1.049329e+00 1.039786e+00 1.030969e+00 1.022833e+00 1.015332e+00 1.008427e+00 1.002080e+00 9.962588e-01 9.909306e-01 9.860673e-01 9.816427e-01 9.776332e-01 9.740173e-01 9.707756e-01 9.678907e-01 9.653471e-01 9.631312e-01 9.612311e-01 9.596366e-01 9.583392e-01 9.573319e-01 9.566094e-01 9.561676e-01 9.560044e-01 9.561187e-01 9.565112e-01 9.571841e-01 9.581409e-01 9.593867e-01 9.609282e-01 9.627738e-01 9.649332e-01 9.674181e-01 9.702418e-01 9.734195e-01 9.769681e-01 9.809067e-01 9.852565e-01 9.900407e-01 9.952850e-01 1.001017e+00 1.007269e+00 1.014073e+00 1.021466e+00 1.029487e+00 1.038181e+00 1.047592e+00 1.057772e+00 1.068776e+00 1.080661e+00 1.093493e+00 1.107340e+00 1.122275e+00 1.138380e+00 1.151680e+00 1.160203e+00 1.168026e+00 1.175161e+00 1.181620e+00 1.187413e+00 1.192549e+00
