# x=3.3250  x=3.3750  x=3.4250  x=3.4750  x=3.5250  x=3.5750  x=3.6250  x=3.6750  x=3.7250  x=3.7750  x=3.8250  x=3.8750  x=3.9250  x=3.9750  x=4.0250  x=4.0750  x=4.1250  x=4.1750  x=4.2250  x=4.2750  x=4.3250  x=4.3750  x=4.4250  x=4.4750  x=4.5250  x=4.5750  x=4.6250  x=4.6750  x=4.7250  x=4.7750  x=4.8250  x=4.8750  x=4.9250  x=4.9750  x=5.0250  x=5.0750  x=5.1250  x=5.1750  x=5.2250  x=5.2750  x=5.3250  x=5.3750  x=5.4250  x=5.4750  x=5.5250  x=5.5750  x=5.6250  x=5.6750  x=5.7250  x=5.7750  x=5.8250  x=5.8750  x=5.9250  x=5.9750  x=6.0250  x=6.0750  x=6.1250  x=6.1750  x=6.2250  x=6.2750  x=6.3250  x=6.3750  x=6.4250  x=6.4750  x=6.5250  x=6.5750  x=6.6250  x=6.6750
3.465405e+00 3.463553e+00 3.458771e+00 3.451058e+00 3.440409e+00 3.426819e+00 3.410281e+00 3.390787e+00 3.368327e+00 3.342890e+00 3.314463e+00 3.283031e+00 3.248579e+00 3.211090e+00 3.157801e+00 3.095319e+00 3.036152e+00 2.980080e+00 2.926892e+00 2.876391e+00 2.828388e+00 2.782703e+00 2.739166e+00 2.697615e+00 2.657893e+00 2.619853e+00 2.583353e+00 2.548256e+00 2.514431e+00 2.481752e+00 2.450097e+00 2.419347e+00 2.389388e+00 2.360108e+00 2.331397e+00 2.303149e+00 2.275257e+00 2.247618e+00 2.220128e+00 2.192685e+00 2.165186e+00 2.137528e+00 2.109609e+00 2.081323e+00 2.052565e+00 2.023228e+00 1.993203e+00 1.962376e+00 1.930634e+00 1.897856e+00 1.863922e+00 1.828704e+00 1.792071e+00 1.753885e+00 1.725874e+00 1.710358e+00 1.695449e+00 1.681132e+00 1.667390e+00 1.654210e+00 1.641576e+00 1.629475e+00 1.617894e+00 1.606821e+00 1.596243e+00 1.586148e+00 1.576527e+00 1.567369e+00
1.462685e+00 1.447311e+00 1.429810e+00 1.410077e+00 1.387988e+00 1.363410e+00 1.336191e+00 1.306163e+00 1.273143e+00 1.236928e+00 1.197296e+00 1.154004e+00 1.106785e+00 1.055350e+00 1.008150e+00 9.714438e-01 9.363886e-01 9.029114e-01 8.709423e-01 8.404148e-01 8.112651e-01 7.834326e-01 7.568591e-01 7.314893e-01 7.072703e-01 6.841516e-01 6.620849e-01 6.410243e-01 6.209259e-01 6.017477e-01 5.834498e-01 5.659940e-01 5.493439e-01 5.334648e-01 5.183236e-01 5.038888e-01 4.901302e-01 4.770191e-01 4.645283e-01 4.526316e-01 4.413042e-01 4.305227e-01 4.202644e-01 4.105079e-01 4.012330e-01 3.924203e-01 3.840515e-01 3.761090e-01 3.685763e-01 3.614378e-01 3.546784e-01 3.482842e-01 3.422418e-01 3.365386e-01 3.319058e-01 3.281518e-01 3.245308e-01 3.210399e-01 3.176763e-01 3.144374e-01 3.113206e-01 3.083234e-01 3.054435e-01 3.026786e-01 3.000265e-01 2.974851e-01 2.950524e-01 2.927264e-01
6.871795e+00 6.852810e+00 6.832577e+00 6.811093e+00 6.788351e+00 6.764345e+00 6.739068e+00 6.712514e+00 6.684674e+00 6.655542e+00 6.625110e+00 6.593368e+00 6.560309e+00 6.525922e+00 6.494665e+00 6.466100e+00 6.435758e+00 6.403633e+00 6.369718e+00 6.334007e+00 6.296493e+00 6.257169e+00 6.216027e+00 6.173060e+00 6.128258e+00 6.081613e+00 6.033117e+00 5.982760e+00 5.930532e+00 5.876423e+00 5.820422e+00 5.762520e+00 5.702704e+00 5.640963e+00 5.577285e+00 5.511658e+00 5.444069e+00 5.374506e+00 5.302954e+00 5.229399e+00 5.153829e+00 5.076227e+00 4.996580e+00 4.914871e+00 4.831085e+00 4.745206e+00 4.657217e+00 4.567100e+00 4.474840e+00 4.380417e+00 4.283814e+00 4.185012e+00 4.083992e+00 3.980734e+00 3.884173e+00 3.798434e+00 3.714505e+00 3.632332e+00 3.551860e+00 3.473036e+00 3.395809e+00 3.320128e+00 3.245942e+00 3.173204e+00 3.101865e+00 3.031879e+00 2.963199e+00 2.895779e+00
4.251079e-01 4.333351e-01 4.417210e-01 4.502691e-01 4.589833e-01 4.678672e-01 4.769248e-01 4.861601e-01 4.955769e-01 5.051796e-01 5.149721e-01 5.249589e-01 5.351442e-01 5.455325e-01 5.560387e-01 5.661001e-01 5.758142e-01 5.851887e-01 5.942310e-01 6.029481e-01 6.113469e-01 6.194340e-01 6.272157e-01 6.346982e-01 6.418874e-01 6.487889e-01 6.554081e-01 6.617502e-01 6.678202e-01 6.736229e-01 6.791628e-01 6.844443e-01 6.894715e-01 6.942485e-01 6.987789e-01 7.030663e-01 7.071140e-01 7.109253e-01 7.145032e-01 7.178504e-01 7.209697e-01 7.238633e-01 7.265337e-01 7.289829e-01 7.312128e-01 7.332252e-01 7.350217e-01 7.366037e-01 7.379724e-01 7.391289e-01 7.400741e-01 7.408088e-01 7.413335e-01 7.416486e-01 7.417837e-01 7.425445e-01 7.439025e-01 7.458598e-01 7.484189e-01 7.515835e-01 7.553578e-01 7.597470e-01 7.647572e-01 7.703952e-01 7.766689e-01 7.835868e-01 7.911583e-01 7.993941e-01
7.436671e-01 7.561724e-01 7.690390e-01 7.822796e-01 7.959076e-01 8.099365e-01 8.243805e-01 8.392540e-01 8.545719e-01 8.703494e-01 8.866024e-01 9.033473e-01 9.206006e-01 9.383797e-01 9.789253e-01 1.036957e+00 1.090557e+00 1.140007e+00 1.185568e+00 1.227480e+00 1.265962e+00 1.301219e+00 1.333435e+00 1.362779e+00 1.389407e+00 1.413458e+00 1.435059e+00 1.454324e+00 1.471354e+00 1.486239e+00 1.499057e+00 1.509875e+00 1.518751e+00 1.525731e+00 1.530851e+00 1.534140e+00 1.535614e+00 1.535281e+00 1.533139e+00 1.529177e+00 1.523374e+00 1.515699e+00 1.506112e+00 1.494564e+00 1.480992e+00 1.465325e+00 1.447482e+00 1.427367e+00 1.404876e+00 1.379890e+00 1.352277e+00 1.321891e+00 1.288574e+00 1.252150e+00 1.226646e+00 1.215350e+00 1.204036e+00 1.192698e+00 1.181328e+00 1.169919e+00 1.158465e+00 1.146958e+00 1.135392e+00 1.123760e+00 1.112054e+00 1.100268e+00 1.088394e+00 1.076426e+00
2.720344e+00 2.687057e+00 2.653035e+00 2.618257e+00 2.582699e+00 2.546339e+00 2.509152e+00 2.471114e+00 2.432200e+00 2.392385e+00 2.351642e+00 2.309945e+00 2.267266e+00 2.223577e+00 2.155828e+00 2.069965e+00 1.988773e+00 1.912025e+00 1.839508e+00 1.771019e+00 1.706368e+00 1.645375e+00 1.587870e+00 1.533693e+00 1.482693e+00 1.434729e+00 1.389666e+00 1.347379e+00 1.307750e+00 1.270670e+00 1.236035e+00 1.203747e+00 1.173719e+00 1.145865e+00 1.120109e+00 1.096378e+00 1.074607e+00 1.054735e+00 1.036707e+00 1.020472e+00 1.005985e+00 9.932067e-01 9.821003e-01 9.726353e-01 9.647854e-01 9.585287e-01 9.538479e-01 9.507298e-01 9.491657e-01 9.491514e-01 9.506868e-01 9.537762e-01 9.584281e-01 9.646555e-01 9.702426e-01 9.736194e-01 9.770235e-01 9.804590e-01 9.839302e-01 9.874414e-01 9.909969e-01 9.946011e-01 9.982585e-01 1.001974e+00 1.005751e+00 1.009596e+00 1.013512e+00 1.017505e+00
2.023565e+00 2.042125e+00 2.059436e+00 2.075503e+00 2.090336e+00 2.103942e+00 2.116327e+00 2.127497e+00 2.137458e+00 2.146215e+00 2.153771e+00 2.160131e+00 2.165297e+00 2.169273e+00 2.171112e+00 2.171744e+00 2.172117e+00 2.172233e+00 2.172090e+00 2.171690e+00 2.171032e+00 2.170114e+00 2.168936e+00 2.167496e+00 2.165792e+00 2.163822e+00 2.161584e+00 2.159074e+00 2.156290e+00 2.153228e+00 2.149884e+00 2.146253e+00 2.142331e+00 2.138114e+00 2.133595e+00 2.128769e+00 2.123630e+00 2.118171e+00 2.112385e+00 2.106265e+00 2.099803e+00 2.092991e+00 2.085819e+00 2.078280e+00 2.070362e+00 2.062057e+00 2.053353e+00 2.044239e+00 2.034704e+00 2.024736e+00 2.014321e+00 2.003447e+00 1.992100e+00 1.980264e+00 1.966828e+00 1.952587e+00 1.938613e+00 1.924882e+00 1.911373e+00 1.898063e+00 1.884930e+00 1.871951e+00 1.859106e+00 1.846373e+00 1.833730e+00 1.821158e+00 1.808635e+00 1.796140e+00
1.398363e+00 1.385589e+00 1.370907e+00 1.354312e+00 1.335799e+00 1.315362e+00 1.292994e+00 1.268688e+00 1.242436e+00 1.214231e+00 1.184062e+00 1.151919e+00 1.117794e+00 1.081674e+00 1.043936e+00 1.008599e+00 9.751897e-01 9.436276e-01 9.138374e-01 8.857478e-01 8.592917e-01 8.344057e-01 8.110303e-01 7.891095e-01 7.685911e-01 7.494258e-01 7.315678e-01 7.149744e-01 6.996059e-01 6.854255e-01 6.723993e-01 6.604962e-01 6.496877e-01 6.399478e-01 6.312534e-01 6.235836e-01 6.169201e-01 6.112469e-01 6.065504e-01 6.028195e-01 6.000451e-01 5.982207e-01 5.973419e-01 5.974066e-01 5.984149e-01 6.003693e-01 6.032744e-01 6.071372e-01 6.119669e-01 6.177751e-01 6.245757e-01 6.323849e-01 6.412214e-01 6.511064e-01 6.725436e-01 7.024462e-01 7.304675e-01 7.567329e-01 7.813597e-01 8.044580e-01 8.261309e-01 8.464754e-01 8.655823e-01 8.835371e-01 9.004199e-01 9.163063e-01 9.312672e-01 9.453694e-01
2.377215e+00 2.376893e+00 2.377013e+00 2.377575e+00 2.378579e+00 2.380027e+00 2.381921e+00 2.384264e+00 2.387059e+00 2.390311e+00 2.394024e+00 2.398204e+00 2.402858e+00 2.407991e+00 2.414853e+00 2.422067e+00 2.428397e+00 2.433851e+00 2.438433e+00 2.442149e+00 2.445002e+00 2.446995e+00 2.448130e+00 2.448408e+00 2.447829e+00 2.446394e+00 2.444100e+00 2.440945e+00 2.436927e+00 2.432040e+00 2.426280e+00 2.419641e+00 2.412116e+00 2.403698e+00 2.394378e+00 2.384148e+00 2.372995e+00 2.360910e+00 2.347879e+00 2.333890e+00 2.318929e+00 2.302980e+00 2.286027e+00 2.268054e+00 2.249041e+00 2.228969e+00 2.207819e+00 2.185569e+00 2.162195e+00 2.137676e+00 2.111985e+00 2.085097e+00 2.056984e+00 2.027618e+00 1.990033e+00 1.947675e+00 1.907415e+00 1.869188e+00 1.832934e+00 1.798595e+00 1.766116e+00 1.735447e+00 1.706537e+00 1.679341e+00 1.653815e+00 1.629920e+00 1.607617e+00 1.586871e+00
1.890984e+00 1.886618e+00 1.881881e+00 1.876767e+00 1.871266e+00 1.865371e+00 1.859073e+00 1.852361e+00 1.845226e+00 1.837656e+00 1.829640e+00 1.821165e+00 1.812219e+00 1.802786e+00 1.765805e+00 1.707316e+00 1.653951e+00 1.605326e+00 1.561092e+00 1.520932e+00 1.484557e+00 1.451706e+00 1.422145e+00 1.395659e+00 1.372060e+00 1.351179e+00 1.332864e+00 1.316986e+00 1.303429e+00 1.292096e+00 1.282907e+00 1.275795e+00 1.270710e+00 1.267614e+00 1.266486e+00 1.267317e+00 1.270113e+00 1.274895e+00 1.281697e+00 1.290567e+00 1.301570e+00 1.314783e+00 1.330303e+00 1.348240e+00 1.368724e+00 1.391900e+00 1.417936e+00 1.447018e+00 1.479356e+00 1.515180e+00 1.554749e+00 1.598345e+00 1.646283e+00 1.698906e+00 1.730824e+00 1.736916e+00 1.742953e+00 1.748937e+00 1.754871e+00 1.760757e+00 1.766598e+00 1.772396e+00 1.778154e+00 1.783873e+00 1.789557e+00 1.795206e+00 1.800825e+00 1.806415e+00
