# x=3.3250  x=3.3750  x=3.4250  x=3.4750  x=3.5250  x=3.5750  x=3.6250  x=3.6750  x=3.7250  x=3.7750  x=3.8250  x=3.8750  x=3.9250  x=3.9750  x=4.0250  x=4.0750  x=4.1250  x=4.1750  x=4.2250  x=4.2750  x=4.3250  x=4.3750  x=4.4250  x=4.4750  x=4.5250  x=4.5750  x=4.6250  x=4.6750  x=4.7250  x=4.7750  x=4.8250  x=4.8750  x=4.9250  x=4.9750  x=5.0250  x=5.0750  x=5.1250  x=5.1750  x=5.2250  x=5.2750  x=5.3250  x=5.3750  x=5.4250  x=5.4750  x=5.5250  x=5.5750  x=5.6250  x=5.6750  x=5.7250  x=5.7750  x=5.8250  x=5.8750  x=5.9250  x=5.9750  x=6.0250  x=6.0750  x=6.1250  x=6.1750  x=6.2250  x=6.2750  x=6.3250  x=6.3750  x=6.4250  x=6.4750  x=6.5250  x=6.5750  x=6.6250  x=6.6750
5.520213e-01 5.586651e-01 5.641449e-01 5.694071e-01 5.744590e-01 5.793074e-01 5.839592e-01 5.884208e-01 5.926983e-01 5.967977e-01 6.007247e-01 6.044846e-01 6.080827e-01 6.115240e-01 6.148132e-01 6.179549e-01 6.209534e-01 6.238129e-01 6.265373e-01 6.291305e-01 6.315959e-01 6.339371e-01 6.361572e-01 6.382593e-01 6.402463e-01 6.421210e-01 6.438861e-01 6.455438e-01 6.470965e-01 6.485464e-01 6.498955e-01 6.511456e-01 6.522985e-01 6.533557e-01 6.543188e-01 6.551890e-01 6.559676e-01 6.566556e-01 6.572541e-01 6.577637e-01 6.581853e-01 6.585194e-01 6.587664e-01 6.589268e-01 6.590007e-01 6.589883e-01 6.588894e-01 6.587041e-01 6.584320e-01 6.580727e-01 6.576258e-01 6.570906e-01 6.564665e-01 6.557524e-01 6.549475e-01 6.540506e-01 6.530606e-01 6.519759e-01 6.507951e-01 6.495167e-01 6.481387e-01 6.466594e-01 6.450766e-01 6.433881e-01 6.415918e-01 6.396849e-01 6.376650e-01 6.328750e-01
1.527337e+00 1.414877e+00 1.356147e+00 1.300424e+00 1.247574e+00 1.197470e+00 1.149991e+00 1.105021e+00 1.062452e+00 1.022181e+00 9.841118e-01 9.481513e-01 9.142131e-01 8.822151e-01 8.520800e-01 8.237350e-01 7.971118e-01 7.721458e-01 7.487769e-01 7.269486e-01 7.066082e-01 6.877065e-01 6.701979e-01 6.540401e-01 6.391940e-01 6.256238e-01 6.132967e-01 6.021830e-01 5.922557e-01 5.834910e-01 5.758676e-01 5.693671e-01 5.639738e-01 5.596747e-01 5.564595e-01 5.543202e-01 5.532519e-01 5.532518e-01 5.543200e-01 5.564591e-01 5.596742e-01 5.639732e-01 5.693663e-01 5.758666e-01 5.834899e-01 5.922545e-01 6.021816e-01 6.132952e-01 6.256221e-01 6.391921e-01 6.540380e-01 6.701957e-01 6.877041e-01 7.066056e-01 7.269458e-01 7.487739e-01 7.721426e-01 7.971083e-01 8.237314e-01 8.520761e-01 8.822109e-01 9.142087e-01 9.481467e-01 9.841068e-01 1.022176e+00 1.062446e+00 1.105015e+00 1.144891e+00
1.677153e+00 1.667938e+00 1.657266e+00 1.646507e+00 1.635655e+00 1.624702e+00 1.613641e+00 1.602466e+00 1.591168e+00 1.579741e+00 1.568176e+00 1.556468e+00 1.544606e+00 1.532585e+00 1.520396e+00 1.508032e+00 1.495484e+00 1.482743e+00 1.469803e+00 1.456653e+00 1.443287e+00 1.429694e+00 1.415867e+00 1.401796e+00 1.387472e+00 1.372885e+00 1.358027e+00 1.342887e+00 1.327455e+00 1.311722e+00 1.295677e+00 1.279311e+00 1.262611e+00 1.245567e+00 1.228169e+00 1.210404e+00 1.192262e+00 1.173730e+00 1.154796e+00 1.135449e+00 1.115674e+00 1.095460e+00 1.074794e+00 1.053661e+00 1.032048e+00 1.009941e+00 9.873260e-01 9.641876e-01 9.405108e-01 9.162803e-01 8.914803e-01 8.660946e-01 8.401067e-01 8.134997e-01 7.862561e-01 7.583582e-01 7.297879e-01 7.005265e-01 6.705550e-01 6.398538e-01 6.084028e-01 5.761817e-01 5.431693e-01 5.093442e-01 4.746844e-01 4.391672e-01 4.027694e-01 3.793213e-01
6.139474e-01 6.035141e-01 5.913854e-01 5.799036e-01 5.690419e-01 5.587751e-01 5.490792e-01 5.399319e-01 5.313116e-01 5.231986e-01 5.155737e-01 5.084194e-01 5.017190e-01 4.954568e-01 4.896184e-01 4.841901e-01 4.791594e-01 4.745144e-01 4.702445e-01 4.663396e-01 4.627908e-01 4.595897e-01 4.567289e-01 4.542017e-01 4.520023e-01 4.501256e-01 4.485672e-01 4.473234e-01 4.463914e-01 4.457689e-01 4.454547e-01 4.454478e-01 4.457484e-01 4.463571e-01 4.472753e-01 4.485051e-01 4.500495e-01 4.519120e-01 4.540969e-01 4.566093e-01 4.594552e-01 4.626410e-01 4.661741e-01 4.700630e-01 4.743164e-01 4.789445e-01 4.839578e-01 4.893681e-01 4.951880e-01 5.014310e-01 5.081116e-01 5.152454e-01 5.228489e-01 5.309399e-01 5.395371e-01 5.486605e-01 5.583315e-01 5.685724e-01 5.794071e-01 5.908608e-01 6.029601e-01 6.157332e-01 6.292097e-01 6.434211e-01 6.584004e-01 6.741824e-01 6.908038e-01 7.274324e-01
1.527636e+00 1.556126e+00 1.564250e+00 1.571976e+00 1.579306e+00 1.586244e+00 1.592790e+00 1.598947e+00 1.604718e+00 1.610103e+00 1.615106e+00 1.619726e+00 1.623967e+00 1.627829e+00 1.631314e+00 1.634423e+00 1.637156e+00 1.639515e+00 1.641500e+00 1.643112e+00 1.644352e+00 1.645220e+00 1.645716e+00 1.645841e+00 1.645594e+00 1.644975e+00 1.643985e+00 1.642622e+00 1.640887e+00 1.638779e+00 1.636297e+00 1.633440e+00 1.630208e+00 1.626599e+00 1.622612e+00 1.618246e+00 1.613500e+00 1.608372e+00 1.602859e+00 1.596962e+00 1.590677e+00 1.584002e+00 1.576935e+00 1.569475e+00 1.561618e+00 1.553362e+00 1.544705e+00 1.535643e+00 1.526173e+00 1.516293e+00 1.506000e+00 1.495289e+00 1.484157e+00 1.472601e+00 1.460618e+00 1.448202e+00 1.435350e+00 1.422059e+00 1.408322e+00 1.394137e+00 1.379498e+00 1.364401e+00 1.348841e+00 1.332812e+00 1.316310e+00 1.299328e+00 1.281862e+00 1.252115e+00
4.900579e+00 4.954495e+00 5.039802e+00 5.120705e+00 5.197312e+00 5.269728e+00 5.338048e+00 5.402366e+00 5.462768e+00 5.519336e+00 5.572144e+00 5.621266e+00 5.666766e+00 5.708706e+00 5.747142e+00 5.782127e+00 5.813707e+00 5.841925e+00 5.866819e+00 5.888422e+00 5.906763e+00 5.921868e+00 5.933756e+00 5.942443e+00 5.947942e+00 5.950260e+00 5.949399e+00 5.945358e+00 5.938133e+00 5.927713e+00 5.914085e+00 5.897229e+00 5.877124e+00 5.853742e+00 5.827051e+00 5.797017e+00 5.763598e+00 5.726749e+00 5.686421e+00 5.642560e+00 5.595105e+00 5.543995e+00 5.489159e+00 5.430524e+00 5.368010e+00 5.301535e+00 5.231007e+00 5.156333e+00 5.077412e+00 4.994137e+00 4.906396e+00 4.814072e+00 4.717039e+00 4.615167e+00 4.508320e+00 4.396352e+00 4.279114e+00 4.156448e+00 4.028188e+00 3.894161e+00 3.754188e+00 3.608079e+00 3.455638e+00 3.296660e+00 3.130931e+00 2.958227e+00 2.778316e+00 2.665865e+00
4.547618e+00 4.505929e+00 4.454950e+00 4.405178e+00 4.356581e+00 4.309127e+00 4.262785e+00 4.217525e+00 4.173318e+00 4.130135e+00 4.087948e+00 4.046729e+00 4.006452e+00 3.967090e+00 3.928618e+00 3.891011e+00 3.854244e+00 3.818293e+00 3.783136e+00 3.748748e+00 3.715109e+00 3.682195e+00 3.649986e+00 3.618461e+00 3.587598e+00 3.557379e+00 3.527783e+00 3.498791e+00 3.470384e+00 3.442545e+00 3.415253e+00 3.388493e+00 3.362247e+00 3.336496e+00 3.311226e+00 3.286419e+00 3.262059e+00 3.238130e+00 3.214617e+00 3.191504e+00 3.168777e+00 3.146420e+00 3.124420e+00 3.102762e+00 3.081431e+00 3.060414e+00 3.039697e+00 3.019267e+00 2.999110e+00 2.979213e+00 2.959564e+00 2.940150e+00 2.920957e+00 2.901974e+00 2.883188e+00 2.864587e+00 2.846159e+00 2.827892e+00 2.809773e+00 2.791792e+00 2.773937e+00 2.756195e+00 2.738555e+00 2.721007e+00 2.703537e+00 2.686136e+00 2.668792e+00 2.656744e+00
4.927637e+00 4.957030e+00 4.968679e+00 4.979169e+00 4.988507e+00 4.996698e+00 5.003747e+00 5.009659e+00 5.014438e+00 5.018086e+00 5.020605e+00 5.021997e+00 5.022263e+00 5.021403e+00 5.019417e+00 5.016302e+00 5.012059e+00 5.006683e+00 5.000171e+00 4.992520e+00 4.983725e+00 4.973780e+00 4.962679e+00 4.950416e+00 4.936983e+00 4.922372e+00 4.906574e+00 4.889579e+00 4.871377e+00 4.851956e+00 4.831305e+00 4.809412e+00 4.786262e+00 4.761841e+00 4.736135e+00 4.709128e+00 4.680804e+00 4.651144e+00 4.620132e+00 4.587747e+00 4.553970e+00 4.518781e+00 4.482157e+00 4.444077e+00 4.404517e+00 4.363453e+00 4.320859e+00 4.276711e+00 4.230980e+00 4.183638e+00 4.134658e+00 4.084008e+00 4.031658e+00 3.977575e+00 3.921727e+00 3.864079e+00 3.804597e+00 3.743243e+00 3.679980e+00 3.614770e+00 3.547572e+00 3.478346e+00 3.407049e+00 3.333637e+00 3.258065e+00 3.180288e+00 3.100257e+00 3.035304e+00
1.179326e+00 1.180683e+00 1.182452e+00 1.184333e+00 1.186329e+00 1.188442e+00 1.190674e+00 1.193027e+00 1.195503e+00 1.198105e+00 1.200835e+00 1.203697e+00 1.206693e+00 1.209825e+00 1.213098e+00 1.216515e+00 1.220078e+00 1.223792e+00 1.227659e+00 1.231685e+00 1.235873e+00 1.240227e+00 1.244751e+00 1.249451e+00 1.254330e+00 1.259394e+00 1.264648e+00 1.270096e+00 1.275745e+00 1.281600e+00 1.287667e+00 1.293952e+00 1.300460e+00 1.307200e+00 1.314177e+00 1.321398e+00 1.328871e+00 1.336603e+00 1.344602e+00 1.352876e+00 1.361433e+00 1.370281e+00 1.379429e+00 1.388888e+00 1.398665e+00 1.408771e+00 1.419216e+00 1.430010e+00 1.441164e+00 1.452690e+00 1.464598e+00 1.476901e+00 1.489611e+00 1.502740e+00 1.516302e+00 1.530311e+00 1.544779e+00 1.559722e+00 1.575155e+00 1.591093e+00 1.607552e+00 1.624549e+00 1.642099e+00 1.660222e+00 1.678935e+00 1.698256e+00 1.718205e+00 1.733754e+00
3.142093e+00 3.164238e+00 3.183394e+00 3.201817e+00 3.219512e+00 3.236480e+00 3.252725e+00 3.268250e+00 3.283058e+00 3.297151e+00 3.310531e+00 3.323201e+00 3.335164e+00 3.346420e+00 3.356973e+00 3.366824e+00 3.375974e+00 3.384426e+00 3.392180e+00 3.399239e+00 3.405603e+00 3.411273e+00 3.416251e+00 3.420537e+00 3.424133e+00 3.427038e+00 3.429253e+00 3.430779e+00 3.431616e+00 3.431763e+00 3.431222e+00 3.429992e+00 3.428072e+00 3.425463e+00 3.422164e+00 3.418174e+00 3.413493e+00 3.408120e+00 3.402053e+00 3.395293e+00 3.387837e+00 3.379684e+00 3.370834e+00 3.361283e+00 3.351032e+00 3.340078e+00 3.328418e+00 3.316052e+00 3.302976e+00 3.289189e+00 3.274689e+00 3.259471e+00 3.243535e+00 3.226877e+00 3.209495e+00 3.191385e+00 3.172543e+00 3.152968e+00 3.132655e+00 3.111601e+00 3.089802e+00 3.067255e+00 3.043955e+00 3.019898e+00 2.995081e+00 2.969499e+00 2.943147e+00 2.883575e+00
