# D_1  D_2  D_3  Sigma_a_1  Sigma_a_2  Sigma_a_3  q_1  q_2  q_3
1.072680e+00 1.425685e+00 4.090480e-01 5.898890e-01 7.892978e-01 6.673774e-01 2.513555e-01 5.693971e-01 3.572866e-01
3.601049e-01 9.487914e-01 1.226694e+00 2.674998e-01 9.167508e-01 5.971533e-01 1.570884e+00 1.017599e-01 1.561441e+00
4.956089e-01 3.666866e-01 1.425651e+00 5.750831e-01 9.561057e-02 6.729775e-01 1.107471e+00 1.711393e-01 9.316453e-02
1.668611e+00 1.050758e+00 3.297799e-01 7.338734e-01 9.776030e-01 1.354061e-01 7.950048e-01 3.062671e-01 4.229311e-01
3.084408e-01 1.753190e+00 7.578504e-01 9.562089e-01 2.286147e-01 8.754113e-01 9.626353e-01 6.368100e-01 4.645014e-01
1.994122e+00 3.997589e-01 1.995076e+00 7.372352e-02 2.153095e-01 4.394924e-01 1.627436e+00 1.789368e+00 8.970770e-01
9.005436e-01 5.373370e-01 1.367625e+00 9.921308e-02 1.397771e-01 1.635595e-01 1.488621e+00 3.632579e-01 9.014454e-01
3.048829e-01 1.093712e+00 1.892891e+00 5.780405e-02 2.677808e-01 7.308412e-01 3.190600e-01 1.837468e+00 1.534633e+00
1.205939e+00 7.689171e-01 1.508266e+00 9.937005e-01 3.071767e-01 7.559005e-01 1.273686e+00 3.285173e-01 1.881157e+00
8.238864e-01 1.010613e+00 2.979189e-01 6.360488e-01 7.048391e-02 9.489674e-01 1.854219e+00 5.203942e-01 1.810191e+00
5.644199e-01 1.683730e+00 1.809496e+00 9.450744e-01 5.152419e-01 7.183080e-01 6.599958e-01 1.185374e+00 5.924702e-01
1.419833e+00 1.886334e+00 1.112749e+00 9.273379e-01 1.916759e-01 2.287023e-01 8.445356e-01 1.007662e+00 1.782940e+00
1.211810e+00 2.208142e-01 1.177550e+00 5.001503e-01 9.633952e-01 8.113044e-01 7.320705e-01 8.205249e-01 1.776042e+00
1.744963e+00 1.268942e+00 1.955242e+00 5.557479e-01 6.957479e-01 1.398942e-01 1.362153e+00 2.428022e-01 1.244202e-01
1.767129e+00 1.910357e+00 1.266693e+00 5.983310e-02 9.075218e-01 5.519874e-01 1.443250e+00 2.859302e-01 4.495136e-01
5.208588e-01 8.134734e-01 6.210453e-01 1.428170e-01 5.239750e-01 6.338179e-01 4.939226e-01 1.806752e+00 1.244806e+00
1.282961e+00 6.718962e-01 9.655999e-01 8.000284e-01 8.565954e-01 3.787097e-01 3.965197e-01 1.988752e+00 1.755272e+00
9.807526e-01 6.574637e-01 1.714842e+00 3.561494e-01 5.632256e-01 5.829337e-01 1.092716e+00 1.585952e+00 1.450228e-01
5.477013e-01 1.252338e+00 9.969714e-01 7.830452e-01 6.105923e-01 5.657085e-01 4.515957e-01 1.866413e+00 6.252437e-01
1.652444e+00 1.169921e+00 1.791567e+00 1.103022e-01 4.901065e-01 1.825676e-01 1.955813e+00 1.889242e+00 1.640244e+00
1.013214e+00 1.519700e+00 7.125095e-01 7.157863e-01 8.473462e-01 9.112409e-01 7.191247e-01 4.870387e-01 1.317997e+00
4.591326e-01 8.483863e-01 2.324001e-01 9.016725e-01 4.470178e-01 7.659669e-01 1.938510e+00 1.694996e+00 2.406719e-01
1.316105e+00 8.988720e-01 1.489573e+00 1.960012e-01 7.281751e-01 9.954104e-01 1.161755e-01 1.675621e+00 7.662917e-01
1.464725e+00 5.971132e-01 4.981248e-01 7.678435e-01 6.091511e-01 6.558613e-01 2.686424e-01 1.920353e+00 1.292940e+00
