# D_1  D_2  D_3  Sigma_a_1  Sigma_a_2  Sigma_a_3  q_1  q_2  q_3
1.000000e+00 1.834832e+00 1.673755e+00 5.000000e-01 9.472375e-02 1.401093e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.418710e+00 1.003189e+00 5.000000e-01 7.068684e-01 1.379850e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 9.844478e-01 1.178674e+00 5.000000e-01 1.394762e+00 1.108874e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.837255e+00 1.255512e+00 5.000000e-01 7.169151e-01 9.758063e-01 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.250607e+00 7.541024e-01 5.000000e-01 1.186495e+00 1.070896e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.361276e+00 1.988388e+00 5.000000e-01 1.344551e+00 8.425591e-01 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.079414e+00 1.053560e+00 5.000000e-01 6.199923e-01 5.086404e-01 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.927795e+00 5.541986e-01 5.000000e-01 3.996853e-01 2.582636e-01 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 5.893683e-01 1.610516e+00 5.000000e-01 2.845494e-01 8.787015e-01 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 5.156012e-01 9.689387e-01 5.000000e-01 1.105906e+00 6.278844e-01 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.274048e+00 1.033124e+00 5.000000e-01 1.461766e+00 1.038166e-01 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.479913e+00 1.695855e+00 5.000000e-01 1.028061e+00 1.406673e-01 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.091966e+00 1.929596e+00 5.000000e-01 9.203118e-01 1.250659e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.046684e+00 6.895471e-01 5.000000e-01 6.415425e-01 7.500025e-01 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.073599e+00 6.238924e-01 5.000000e-01 4.048072e-01 1.066946e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.131417e+00 1.609060e+00 5.000000e-01 7.017688e-01 3.272024e-01 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.029027e+00 8.614718e-01 5.000000e-01 1.327054e+00 1.200028e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 9.978207e-01 1.598968e+00 5.000000e-01 9.237430e-01 8.864350e-01 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.629698e+00 6.262070e-01 5.000000e-01 2.777756e-01 7.685757e-01 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.567700e+00 1.349138e+00 5.000000e-01 1.222276e+00 1.320071e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.588774e+00 1.261773e+00 5.000000e-01 3.697088e-01 4.417301e-01 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 9.497004e-01 6.722481e-01 5.000000e-01 8.157475e-01 5.694318e-01 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.542495e+00 1.435678e+00 5.000000e-01 1.493372e+00 3.072588e-01 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 7.477499e-01 1.385728e+00 5.000000e-01 7.892719e-01 1.464548e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.872603e+00 1.566771e+00 5.000000e-01 5.581432e-02 1.069331e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.337061e+00 1.739766e+00 5.000000e-01 6.076362e-01 3.983872e-01 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.069839e+00 1.912647e+00 5.000000e-01 1.212522e+00 5.294690e-01 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.994453e+00 7.076712e-01 5.000000e-01 7.796428e-01 4.515615e-01 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 9.666604e-01 1.779637e+00 5.000000e-01 3.954729e-01 2.984007e-01 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.204048e+00 1.705899e+00 5.000000e-01 1.268697e+00 9.703530e-01 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 9.643589e-01 1.852190e+00 5.000000e-01 1.071402e+00 9.881734e-01 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.869627e+00 1.602664e+00 5.000000e-01 1.079598e+00 9.018447e-01 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.062917e+00 1.653093e+00 5.000000e-01 6.912729e-01 1.391798e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.045481e+00 1.515590e+00 5.000000e-01 1.236469e+00 1.428253e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 6.999306e-01 8.030119e-01 5.000000e-01 1.205661e+00 1.309197e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.264001e+00 7.883921e-01 5.000000e-01 9.599279e-01 9.100651e-01 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.693562e+00 5.008373e-01 5.000000e-01 8.461054e-01 1.470576e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.049220e+00 9.741405e-01 5.000000e-01 1.156803e+00 1.053304e+00 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 1.083556e+00 1.640715e+00 5.000000e-01 1.119763e+00 2.794482e-01 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 9.410797e-01 1.173263e+00 5.000000e-01 9.802644e-01 7.713311e-01 1.000000e+00 1.000000e+00 1.000000e+00
1.000000e+00 6.834542e-01 1.867574e+00 5.000000e-01 1.894893e-01 1.236858e+00 1.000000e+00 1.000000e+00 1.000000e+00
