# void_thickness  steepness
1.119154e-01 1.466074e+02
8.220372e-02 1.723488e+02
5.201425e-02 2.129704e+02
2.070850e-01 2.507526e+02
8.693438e-02 2.812462e+02
1.030785e-01 3.329969e+02
6.136114e-02 3.580739e+02
1.616748e-01 1.836662e+02
1.347946e-01 1.701033e+02
1.225405e-01 2.396552e+02
1.925596e-01 3.456255e+02
6.490247e-02 2.558480e+02
3.156092e-02 2.233288e+02
7.426838e-02 3.143212e+02
2.797705e-02 1.688839e+02
6.358014e-02 2.448789e+02
8.072673e-02 3.512647e+02
1.479893e-01 1.047623e+02
1.707310e-01 1.953514e+02
1.676383e-01 3.724078e+02
9.362113e-02 1.587067e+02
5.477556e-02 3.830866e+02
1.960171e-01 3.808553e+02
1.059110e-01 2.602451e+02
1.298278e-01 3.959317e+02
4.851478e-02 3.253826e+02
2.147536e-01 3.436661e+02
2.120845e-01 1.307149e+02
1.785973e-01 2.358898e+02
3.863979e-02 1.256249e+02
1.772383e-01 1.519590e+02
2.920738e-02 2.983948e+02
1.375604e-01 2.009543e+02
2.002845e-01 1.787717e+02
1.919076e-01 1.972278e+02
1.092630e-01 3.625004e+02
1.454358e-01 3.042009e+02
1.262848e-01 3.889532e+02
9.656548e-02 3.532789e+02
5.710050e-02 3.467680e+02
1.755079e-01 2.719749e+02
3.048383e-02 2.208120e+02
1.980980e-01 3.305996e+02
5.238577e-02 3.756278e+02
5.010849e-02 1.069334e+02
6.869912e-02 3.765464e+02
1.730130e-01 1.205730e+02
4.767628e-02 2.958943e+02
5.853588e-02 1.379235e+02
7.620867e-02 1.332925e+02
1.557510e-01 3.265575e+02
1.885623e-01 1.194227e+02
4.421333e-02 2.904335e+02
1.331858e-01 2.326442e+02
1.559742e-01 1.230835e+02
2.044270e-01 2.588023e+02
5.946295e-02 2.367020e+02
8.774949e-02 3.939483e+02
4.272466e-02 2.423404e+02
7.017772e-02 1.812276e+02
1.661461e-01 2.280771e+02
1.697646e-01 3.181834e+02
1.132754e-01 3.284200e+02
1.147711e-01 2.319834e+02
2.027301e-01 2.934528e+02
2.164326e-01 1.297361e+02
4.015378e-02 1.120990e+02
1.319173e-01 2.573629e+02
9.728168e-02 2.788799e+02
1.193835e-01 2.188328e+02
8.406163e-02 1.034165e+02
6.250370e-02 1.986166e+02
1.804981e-01 3.990269e+02
1.465334e-01 1.565214e+02
2.291341e-01 2.827828e+02
2.181053e-01 3.170667e+02
2.142341e-02 2.863158e+02
1.046910e-01 3.705524e+02
1.389602e-01 1.108408e+02
1.099997e-01 3.109455e+02
1.904475e-01 3.576000e+02
4.161990e-02 1.892859e+02
7.489299e-02 2.171250e+02
1.948670e-01 3.497397e+02
2.202236e-01 3.783947e+02
2.220249e-01 3.842082e+02
9.979864e-02 3.087875e+02
1.589670e-01 1.522744e+02
2.538866e-02 3.911120e+02
1.356480e-01 1.411473e+02
1.751284e-01 1.142632e+02
1.972824e-01 1.754321e+02
1.073078e-01 3.691131e+02
1.848651e-01 1.908464e+02
2.104371e-01 2.118350e+02
2.236255e-01 1.017118e+02
1.241206e-01 2.024419e+02
1.410679e-01 1.483332e+02
1.531787e-01 2.498311e+02
1.645115e-01 1.643145e+02
1.831869e-01 2.055144e+02
1.157429e-01 2.686250e+02
1.443083e-01 1.547224e+02
6.704719e-02 2.151074e+02
2.060058e-01 3.078519e+02
7.842531e-02 1.340041e+02
2.196426e-01 1.603246e+02
5.540266e-02 2.474404e+02
3.369586e-02 1.927889e+02
1.001518e-01 2.645756e+02
1.489053e-01 1.099258e+02
2.103480e-01 3.125281e+02
1.607560e-01 1.854283e+02
1.526835e-01 2.759285e+02
2.074091e-02 2.855255e+02
1.426562e-01 3.554188e+02
1.866474e-01 1.174464e+02
1.196615e-01 3.236105e+02
1.861446e-01 2.085424e+02
1.285988e-01 2.772534e+02
2.078220e-01 3.376058e+02
8.993284e-02 3.677765e+02
1.812161e-01 3.358117e+02
4.591442e-02 2.278078e+02
1.714016e-01 2.881953e+02
2.660432e-02 3.007528e+02
1.393868e-01 2.729128e+02
7.198779e-02 1.277834e+02
1.502644e-01 3.208385e+02
2.008448e-01 3.965298e+02
3.566852e-02 2.960397e+02
3.755176e-02 3.865775e+02
2.138315e-01 1.675614e+02
2.257402e-01 2.060403e+02
2.271358e-01 1.763300e+02
3.511516e-02 2.666219e+02
1.021402e-01 2.630640e+02
2.283830e-01 3.407261e+02
8.571425e-02 3.397653e+02
9.423166e-02 1.864150e+02
9.016535e-02 2.531233e+02
1.577044e-01 2.415556e+02
2.293102e-02 3.618592e+02
7.963933e-02 1.437470e+02
1.267645e-01 3.642710e+02
9.177008e-02 3.035836e+02
7.080366e-02 1.393507e+02
1.167368e-01 1.628432e+02
1.218373e-01 1.440511e+02
1.637109e-01 2.243360e+02
