# void_thickness  steepness
4.834941e-02 2.957469e+02
1.535089e-01 2.263587e+02
1.957914e-01 1.582726e+02
2.177799e-01 2.902264e+02
2.461549e-01 3.439592e+02
1.144700e-01 1.018832e+02
5.181703e-03 3.024613e+02
1.998103e-01 1.059398e+02
1.867692e-01 3.104156e+02
2.153908e-01 1.790130e+02
7.060948e-02 3.489948e+02
1.072486e-01 2.138299e+02
6.864994e-02 2.800811e+02
1.683455e-01 2.606307e+02
6.098703e-02 1.191999e+02
9.797538e-02 2.741328e+02
1.500933e-01 3.344731e+02
1.720037e-01 1.129301e+02
1.282032e-01 2.077617e+02
2.031764e-01 3.715219e+02
3.505159e-02 3.196580e+02
2.445649e-01 2.635221e+02
7.607586e-02 2.714154e+02
2.124955e-02 3.096994e+02
2.472828e-01 1.753630e+02
1.340978e-01 3.954714e+02
1.509745e-01 3.806033e+02
9.387389e-02 1.463353e+02
1.247917e-01 3.695130e+02
1.609245e-01 2.363317e+02
1.807307e-01 3.898389e+02
9.720039e-02 1.431933e+02
2.059178e-01 1.866589e+02
2.151075e-01 3.618733e+02
8.495768e-03 1.283103e+02
1.711851e-01 3.770289e+02
1.103883e-01 2.101831e+02
1.947930e-01 1.979309e+02
8.330388e-02 2.451508e+02
5.482824e-02 2.996073e+02
1.020578e-01 2.545638e+02
1.129033e-01 3.936036e+02
7.391178e-02 2.354057e+02
3.265407e-02 3.072874e+02
1.394938e-01 2.879011e+02
1.778224e-01 1.668670e+02
9.055856e-02 2.828302e+02
9.105666e-02 3.473842e+02
1.467580e-01 2.736701e+02
4.362294e-02 2.166702e+02
8.685036e-02 2.853393e+02
1.864517e-02 2.184181e+02
1.569928e-01 3.851034e+02
1.625723e-01 1.655383e+02
2.091611e-01 1.341306e+02
2.996834e-03 3.834557e+02
1.886642e-01 3.200309e+02
5.945343e-02 3.279167e+02
1.751597e-01 2.209373e+02
3.725468e-02 1.568181e+02
2.774659e-02 2.054409e+02
6.342227e-02 3.390466e+02
3.997547e-02 1.074617e+02
2.426872e-01 2.521695e+02
1.979744e-01 2.431256e+02
9.446905e-02 3.731162e+02
1.187958e-01 1.938642e+02
2.258733e-01 2.400792e+02
1.033026e-01 1.269056e+02
1.481345e-01 3.792621e+02
2.237453e-01 2.931015e+02
7.746270e-02 2.561483e+02
1.261831e-01 2.971865e+02
7.530829e-02 1.844444e+02
2.559327e-02 2.303911e+02
1.549318e-01 3.637574e+02
4.102792e-02 3.963957e+02
4.567617e-02 1.389086e+02
1.301514e-01 3.655006e+02
8.213697e-02 2.494146e+02
2.375887e-01 2.651069e+02
3.239995e-02 1.536141e+02
2.118974e-01 1.249316e+02
1.189103e-01 1.332408e+02
1.265356e-02 3.376378e+02
1.225996e-01 2.033562e+02
3.793263e-02 3.132837e+02
2.953126e-02 2.148123e+02
7.166131e-02 1.771166e+02
1.102472e-02 1.987922e+02
2.211000e-01 1.214886e+02
2.303556e-01 2.507609e+02
8.512527e-02 1.369332e+02
1.421350e-01 3.875109e+02
4.965555e-02 1.410073e+02
2.413765e-02 2.466761e+02
1.911337e-01 3.016536e+02
2.015472e-01 2.667619e+02
2.092323e-03 1.156895e+02
5.845385e-02 3.515705e+02
2.386975e-01 1.708946e+02
2.293735e-01 1.234258e+02
2.351259e-01 3.300688e+02
1.417708e-01 3.587796e+02
6.733372e-02 3.057207e+02
2.115777e-01 3.751591e+02
1.322242e-01 1.511157e+02
1.484218e-02 1.893295e+02
1.924279e-01 2.253553e+02
1.306671e-01 2.091672e+02
2.410802e-01 3.288413e+02
2.197838e-01 2.583670e+02
1.442808e-01 2.285853e+02
2.082723e-01 1.305858e+02
8.034323e-02 2.388615e+02
9.514369e-03 3.339981e+02
1.051930e-01 2.327051e+02
2.072515e-02 3.148948e+02
2.622749e-02 3.227433e+02
4.677224e-02 3.671629e+02
1.066403e-01 1.498958e+02
1.829515e-01 3.577781e+02
1.688198e-01 1.907543e+02
2.344976e-01 3.245338e+02
1.698904e-02 1.737688e+02
1.766676e-01 1.949877e+02
7.313831e-03 1.833711e+02
1.841431e-01 2.781466e+02
1.383186e-01 1.177331e+02
1.003797e-01 2.886259e+02
1.668223e-01 3.989891e+02
2.486081e-01 1.083960e+02
1.786643e-01 1.448405e+02
2.278403e-01 1.116561e+02
5.115636e-02 1.556552e+02
1.363958e-01 3.409473e+02
5.402838e-02 3.175358e+02
2.224097e-01 3.529161e+02
2.039396e-01 2.767467e+02
1.212778e-01 2.690918e+02
5.687102e-02 1.684027e+02
1.572078e-01 1.626331e+02
6.471177e-02 3.554131e+02
1.871420e-01 2.015410e+02
8.841966e-02 3.441134e+02
1.169187e-01 1.614657e+02
1.111856e-01 1.036349e+02
1.593171e-01 2.228904e+02
1.645756e-01 1.801249e+02
2.320970e-01 3.913658e+02
